"","word","is_concrete"
"1","accord",FALSE
"2","adjunct",FALSE
"3","advancement",FALSE
"4","affront",FALSE
"5","amazement",FALSE
"6","anomaly",FALSE
"7","apocalypse",FALSE
"8","aspect",FALSE
"9","assurance",FALSE
"10","benediction",FALSE
"11","betrayal",FALSE
"12","caving",FALSE
"13","condition",FALSE
"14","curate",FALSE
"15","deception",FALSE
"16","desertion",FALSE
"17","doings",FALSE
"18","doom",FALSE
"19","drudgery",FALSE
"20","enigma",FALSE
"21","equity",FALSE
"22","extermination",FALSE
"23","fascination",FALSE
"24","geriatrics",FALSE
"25","heresy",FALSE
"26","hindsight",FALSE
"27","husbandry",FALSE
"28","hysterics",FALSE
"29","jubilee",FALSE
"30","kudos",FALSE
"31","legacy",FALSE
"32","liberty",FALSE
"33","lifetime",FALSE
"34","lunacy",FALSE
"35","methodology",FALSE
"36","offense",FALSE
"37","origin",FALSE
"38","pride",FALSE
"39","reformer",FALSE
"40","religion",FALSE
"41","solitude",FALSE
"42","starvation",FALSE
"43","strategy",FALSE
"44","subjectivity",FALSE
"45","tactics",FALSE
"46","tenderness",FALSE
"47","unfairness",FALSE
"48","uplift",FALSE
"49","vicinity",FALSE
"50","weirdness",FALSE
"51","barnyard",TRUE
"52","bunghole",TRUE
"53","footstep",TRUE
"54","interpreter",TRUE
"55","junkie",TRUE
"56","matting",TRUE
"57","nodule",TRUE
"58","olympics",TRUE
"59","oriole",TRUE
"60","sagebrush",TRUE
"61","stamen",TRUE
"62","stampede",TRUE
"63","airliner",TRUE
"64","assassin",TRUE
"65","bombardier",TRUE
"66","chipmunk",TRUE
"67","clergy",TRUE
"68","deliverer",TRUE
"69","graveyard",TRUE
"70","gunsmith",TRUE
"71","haymaker",TRUE
"72","icehouse",TRUE
"73","island",TRUE
"74","magician",TRUE
"75","nightclub",TRUE
"76","outhouse",TRUE
"77","periscope",TRUE
"78","prankster",TRUE
"79","precipitation",TRUE
"80","schoolmaster",TRUE
"81","scratches",TRUE
"82","shopper",TRUE
"83","balloon",TRUE
"84","chessboard",TRUE
"85","conditioner",TRUE
"86","crosswalk",TRUE
"87","doornail",TRUE
"88","fryer",TRUE
"89","grandchild",TRUE
"90","hairline",TRUE
"91","house",TRUE
"92","mistress",TRUE
"93","mothball",TRUE
"94","petticoat",TRUE
"95","receipt",TRUE
"96","receptacle",TRUE
"97","revolver",TRUE
"98","screwdriver",TRUE
"99","tourniquet",TRUE
"100","traveler",TRUE
